Job Title,Address,Job Link
Gen AI,"Bengaluru, Karnataka, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/gen-ai-at-deloitte-3958777818?position=1&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=nMI4CWiwCVkjcSQ%2BQQUxhw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Science,"Bengaluru East, Karnataka, India
Actively Hiring
5 days ago",https://in.linkedin.com/jobs/view/data-science-at-infosys-3883384532?position=2&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=7ypFGn3AO5539bxtcbHr3A%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Bengaluru, Karnataka, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/data-scientist-at-nielsen-3958903140?position=3&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=%2FFhzS3GNX1czdLZivaiH6Q%3D%3D&trk=public_jobs_jserp-result_search-card
Logistics Data Analyst,"Gurugram, Haryana, India
Actively Hiring
3 weeks ago",https://in.linkedin.com/jobs/view/logistics-data-analyst-at-circle-k-3927950838?position=4&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=N8wrAa%2ByS33i5zF1jNm9%2FA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Analyst,"Gurugram, Haryana, India
Actively Hiring
1 day ago",https://in.linkedin.com/jobs/view/data-analyst-at-nestl%C3%A9-3959373152?position=5&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=zOMS7lxtpVPCEp5GDOjxKg%3D%3D&trk=public_jobs_jserp-result_search-card
Analyst,"Bengaluru, Karnataka, India
Actively Hiring
11 hours ago",https://in.linkedin.com/jobs/view/analyst-at-slice-3941159606?position=6&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=puJF6x9F8o7iRv5TgnWMnA%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist + LLM,"Pune, Maharashtra, India
Actively Hiring
2 days ago",https://in.linkedin.com/jobs/view/data-scientist-%2B-llm-at-deloitte-3942611396?position=7&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=PsmeyB8Cln8AovFt7NsHLg%3D%3D&trk=public_jobs_jserp-result_search-card
Data Analyst 1,"Bengaluru, Karnataka, India
Actively Hiring
1 day ago",https://in.linkedin.com/jobs/view/data-analyst-1-at-epsilon-india-3942713396?position=8&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=C9Luvh3Pw4vcr7KhjVUoSQ%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist Intern,"Bengaluru, Karnataka, India
7 hours ago",https://in.linkedin.com/jobs/view/data-scientist-intern-at-bharatx-3960624409?position=9&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=RXKqiEEOzyHF3T9wNZNHoQ%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,"Bengaluru, Karnataka, India
Actively Hiring
3 weeks ago",https://in.linkedin.com/jobs/view/junior-data-scientist-at-ab-inbev-gcc-india-3940345408?position=10&pageNum=0&refId=OKIeaBaa4XhwsSTdtr8g8A%3D%3D&trackingId=ifocckHLaIk7Sxu89wo9RQ%3D%3D&trk=public_jobs_jserp-result_search-card
